sure,gamble,gambleProb,WinLoss,gambleWinLoss,sureWinLoss,WinLossCode,Evgamble,riskyAdDis,
$4.25 ,$5.50 ,50,LOSE,50%  LOSE,100%  LOSE,0,-2.75,ad,
$1.50 ,$3.50 ,50,LOSE,50%  LOSE,100%  LOSE,0,-1.75,dis,
$2.75 ,$6.75 ,35,LOSE,35%  LOSE,100%  LOSE,0,-2.363,ad,
$3.25 ,$4.50 ,65,LOSE,65%  LOSE,100%  LOSE,0,-2.925,ad,
$5.00 ,$6.00 ,65,WIN,65%  WIN,100%  WIN,1,3.9,dis,
$5.00 ,$6.95 ,65,WIN,65%  WIN,100%  WIN,1,4.518,dis,
$4.75 ,$10.00 ,50,WIN,50%  WIN,100%  WIN,1,5,ad,
$6.75 ,$8.25 ,35,WIN,35%  WIN,100%  WIN,1,2.888,dis,
$6.00 ,$8.50 ,65,WIN,65%  WIN,100%  WIN,1,5.525,dis,s
$1.50 ,$3.75 ,50,WIN,50%  WIN,100%  WIN,1,1.875,ad,
$4.50 ,$7.00 ,50,LOSE,50%  LOSE,100%  LOSE,0,-3.5,ad,
$3.50 ,$4.75 ,35,LOSE,35%  LOSE,100%  LOSE,0,-1.663,ad,
$2.75 ,$5.00 ,35,LOSE,35%  LOSE,100%  LOSE,0,-1.75,ad,
$1.50 ,$4.00 ,50,LOSE,50%  LOSE,100%  LOSE,0,-2,dis,
$6.25 ,$9.50 ,35,WIN,35%  WIN,100%  WIN,1,3.325,dis,
$2.25 ,$4.50 ,50,LOSE,50%  LOSE,100%  LOSE,0,-2.25,equal,
$4.75 ,$7.50 ,65,WIN,65%  WIN,100%  WIN,1,4.875,ad,
$1.25 ,$4.00 ,50,WIN,50%  WIN,100%  WIN,1,2,ad,e
,,,,,,,,,
$3.50 ,$7.00 ,65,WIN,65%  WIN,100%  WIN,1,4.55,ad,
$4.25 ,$5.25 ,50,WIN,50%  WIN,100%  WIN,1,2.625,dis,
$6.00 ,$9.75 ,35,LOSE,35%  LOSE,100%  LOSE,0,-3.413,ad,
$3.50 ,$6.00 ,65,LOSE,65%  LOSE,100%  LOSE,0,-3.9,ad,
$6.15 ,$9.50 ,35,WIN,35%  WIN,100%  WIN,1,3.325,dis,
$3.50 ,$7.00 ,65,WIN,65%  WIN,100%  WIN,1,4.55,ad,
$4.25 ,$5.25 ,50,WIN,50%  WIN,100%  WIN,1,2.625,dis,
$6.15 ,$9.75 ,35,LOSE,35%  LOSE,100%  LOSE,0,-3.413,ad,
$3.95 ,$6.00 ,65,LOSE,65%  LOSE,100%  LOSE,0,-3.9,ad,
$4.25 ,$5.75 ,50,LOSE,50%  LOSE,100%  LOSE,0,-2.875,ad,
,,,,,,,,,
$3.75 ,$6.50 ,35,LOSE,35%  LOSE,100%  LOSE,0,-2.275,ad,
$2.50 ,$5.00 ,65,WIN,65%  WIN,100%  WIN,1,3.25,ad,
$4.00 ,$6.50 ,65,WIN,65%  WIN,100%  WIN,1,4.225,ad,
$1.25 ,$3.00 ,50,WIN,50%  WIN,100%  WIN,1,1.5,ad,
$5.00 ,$9.50 ,35,WIN,35%  WIN,100%  WIN,1,3.325,dis,
$2.75 ,$6.00 ,65,WIN,65%  WIN,100%  WIN,1,3.9,ad,
$3.50 ,$5.50 ,65,LOSE,65%  LOSE,100%  LOSE,0,-3.575,dis,
$4.25 ,$7.00 ,50,LOSE,50%  LOSE,100%  LOSE,0,-3.5,ad,
$3.00 ,$4.75 ,35,LOSE,35%  LOSE,100%  LOSE,0,-1.663,ad,
$2.50 ,$5.00 ,65,LOSE,65%  LOSE,100%  LOSE,0,-3.25,dis,
$3.15 ,$4.75 ,35,LOSE,35%  LOSE,100%  LOSE,0,-1.663,ad,
$2.95 ,$5.00 ,65,LOSE,65%  LOSE,100%  LOSE,0,-3.25,dis,
$4.75 ,$8.50 ,65,LOSE,65%  LOSE,100%  LOSE,0,-5.525,dis,
