Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 6,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 3 skydivers on the left were saved.
 
The ","The 3 skydivers on the left died.

The 6 skydivers on the right were saved.",6,35, skydivers on the right,Skydivers on the left: 3,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,43.245349000000715,None,,,,,,,22.790375000000495,None,n,8.370972400000028,32.85177769999973,None,41.24379880000015,None,32.85177769999973,None,32.85177769999973,None,32.85177769999973,None,32.85177769999973,None,32.85177769999973,None,32.85177769999973,None,32.85177769999973,None,45.28153320000092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• Your crew sees a smaller group of divers apart from the rest who are much closer to reaching the ground, and instinctively moves a few feet to the left to catch them

• You know that there won't be enough time to reach the group on the right if you wait to catch the group on the left",Skydivers on right: 9,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 4 skydivers on the left were saved.
 
The ","The 4 skydivers on the left died.

The 9 skydivers on the right were saved.",9,50, skydivers on the right,Skydivers on the left: 4,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,55.7889269999996,None,,,,,,,,,y,2.500686499999574,51.265974500000084,None,53.78735229999984,None,51.265974500000084,None,51.265974500000084,None,51.265974500000084,None,51.265974500000084,None,51.265974500000084,None,51.265974500000084,None,51.265974500000084,None,57.80617610000081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 2 skydivers on the left were saved.
 
The ","The 2 skydivers on the left died.

The 5 skydivers on the right were saved.",5,50, skydivers on the right,Skydivers on the left: 2,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,69.55029350000041,None,,,,,,,,,n,3.7275976999990235,63.7990774000009,None,67.54882829999951,None,63.7990774000009,None,63.7990774000009,None,63.7990774000009,None,63.7990774000009,None,63.7990774000009,None,63.7990774000009,None,63.7990774000009,None,71.56752410000081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 3 skydivers on the left were saved.
 
The ","The 3 skydivers on the left died.

The 4 skydivers on the right were saved.",4,65, skydivers on the right,Skydivers on the left: 3,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,81.89395830000103,None,,,,,,,,,n,2.294363200000589,77.56831039999997,None,79.89228879999973,None,77.56831039999997,None,77.56831039999997,None,77.56831039999997,None,77.56831039999997,None,77.56831039999997,None,77.56831039999997,None,77.56831039999997,None,83.91055030000098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 5 skydivers on the left were saved.
 
The ","The 5 skydivers on the left died.

The 8 skydivers on the right were saved.",8,65, skydivers on the right,Skydivers on the left: 5,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,95.47201689999929,None,,,,,,,,,y,3.5412417000006826,89.90536109999994,None,93.47008520000054,None,89.90536109999994,None,89.90536109999994,None,89.90536109999994,None,89.90536109999994,None,89.90536109999994,None,89.90536109999994,None,89.90536109999994,None,97.48726630000056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,000:005,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.47645929999999,None,104.4792551999999,None,space,4.58356570000069,104.4792551999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",Workers in Room A: 5,Probability of escape: 35%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 3 workers in Room B lived.

The ","The 3 workers in Room B died. 

The 5 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,109.08280849999937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.11787709999953,None,space,3.06494770000063,111.11787709999953,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",Workers in Room A: 10,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 10 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.22273830000086,None,space,0.43992699999944307,114.22273830000086,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there",Workers in Room A: 6,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 6 workers in Room A were saved.",6,65, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.72676580000007,None,space,0.271835600000486,114.72676580000007,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",Workers in Room A: 12,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 6 workers in Room B lived.

The ","The 6 workers in Room B died. 

The 12 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.03952279999976,None,space,0.6152313000002323,115.03952279999976,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Workers in Room A: 5,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 5 workers in Room A were saved.",5,65, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.68255390000013,None,space,1.1080425000000105,115.68255390000013,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",Workers in Room A: 5,Probability of escape: 35%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 3 workers in Room B lived.

The ","The 3 workers in Room B died. 

The 5 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,141.69349239999974,None,,,,,,,118.80778880000071,None,,,,,,,,,,,,,,,,,,,,,143.71318210000027,None,,,,,,,,,,,,,,,n,10.811073900000338,128.85977730000013,None,139.69202570000016,None,128.85977730000013,None,128.85977730000013,None,128.85977730000013,None,128.85977730000013,None,128.85977730000013,None,128.85977730000013,None,128.85977730000013,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",Workers in Room A: 10,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 10 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,153.82029990000046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.83645230000002,None,,,,,,,,,,,,,,,y,2.0874299999995856,149.71113909999985,None,151.8186998000001,None,149.71113909999985,None,149.71113909999985,None,149.71113909999985,None,149.71113909999985,None,149.71113909999985,None,149.71113909999985,None,149.71113909999985,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there",Workers in Room A: 6,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 6 workers in Room A were saved.",6,65, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,167.33135080000102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.347588300001,None,,,,,,,,,,,,,,,y,3.4726215999999113,161.8300218000004,None,165.3297848000002,None,161.8300218000004,None,161.8300218000004,None,161.8300218000004,None,161.8300218000004,None,161.8300218000004,None,161.8300218000004,None,161.8300218000004,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
