Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,rows2,CueInst,MainLeftText,MainRightText,MainDilemmas,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,00:005,DISTANCE,IMMERSE,"• If nothing is done, the safety crew will catch the diver to the left, avoiding his death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the one diver won't be caught",Divers on right: 7,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 7 skydivers was saved.",7,50, skydivers,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,114.50245420000283,None,space,13.240285599953495,114.50245420000283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,00:005,DISTANCE,IMMERSE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Divers on right: 5,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 5 skydivers was saved.",5,65, skydivers,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,127.79808660002891,None,space,7.815624599985313,127.79808660002891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,00:005,DISTANCE,IMMERSE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Divers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 8 skydivers was saved.",8,65, skydivers,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,135.6509790000273,None,space,5.866518700029701,135.6509790000273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,00:005,DISTANCE,IMMERSE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 3,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 3 skydivers was saved.",3,35, skydivers,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,168.57948910002597,None,,,,,,,143.5688248000224,None,y,12.916636700043455,153.64138600003207,None,166.57792070001597,None,153.64138600003207,None,153.64138600003207,None,153.64138600003207,None,153.64138600003207,None,153.64138600003207,None,153.64138600003207,None,170.6194470000337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,00:005,DISTANCE,IMMERSE,"• Your crew sees one diver apart from the rest who is much closer to reaching the ground, and instinctively moves a few feet to the left to catch him

• You know that there won't be enough time to reach the group if you wait to catch the one",Divers on right: 4,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 4 skydivers was saved.",4,50, skydivers,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,187.04468940000515,None,,,,,,,,,n,8.395067500008736,176.6265330000315,None,185.04306930000894,None,176.6265330000315,None,176.6265330000315,None,176.6265330000315,None,176.6265330000315,None,176.6265330000315,None,176.6265330000315,None,189.0650635000202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,00:005,DISTANCE,IMMERSE,"• If nothing is done, the safety crew will catch the diver to the left, avoiding his death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the one diver won't be caught",Divers on right: 7,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 7 skydivers was saved.",7,50, skydivers,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,198.78852489998098,None,,,,,,,,,y,1.7128273000125773,195.05385850003222,None,196.7870108000352,None,195.05385850003222,None,195.05385850003222,None,195.05385850003222,None,195.05385850003222,None,195.05385850003222,None,195.05385850003222,None,200.8040474000154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,00:005,DISTANCE,IMMERSE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Divers on right: 5,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 5 skydivers was saved.",5,65, skydivers,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,210.41478970000753,None,,,,,,,,,n,1.577240000013262,206.80440080002882,None,208.41315610002493,None,206.80440080002882,None,206.80440080002882,None,206.80440080002882,None,206.80440080002882,None,206.80440080002882,None,206.80440080002882,None,212.4317705000285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,00:005,DISTANCE,IMMERSE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Divers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 8 skydivers was saved.",8,65, skydivers,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,225.64412900002208,None,,,,,,,,,n,5.190222600009292,218.42364430002635,None,223.64242049999302,None,218.42364430002635,None,218.42364430002635,None,218.42364430002635,None,218.42364430002635,None,218.42364430002635,None,218.42364430002635,None,227.66069849999622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,00:005,DISTANCE,IMMERSE,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,005:009,IMMERSE,DISTANCE,"• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ",Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved.
 
The group ","The one scuba diver died.

The group of 6 scuba divers was saved.",6,35, scuba divers,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,231.64896359998966,None,233.68415480002295,None,space,8.425437400001101,233.68415480002295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,005:009,IMMERSE,DISTANCE,"• You also know that there is one scuba diver separate from this group who is closer to you and currently not in the path of the sharks 

• If you shoot this one diver with a harpoon, he will certainly die and the sharks will sense his presence and switch trajectory away from his team of divers 

• If you do all of this, all  of the divers will be spared",Scuba divers in team: 3,"Probability EM pulse
will function: 65%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved.
 
The group ","The one scuba diver died.

The group of 3 scuba divers was saved.",3,65, scuba divers,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,242.19949800003087,None,space,8.24626620003255,242.19949800003087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,005:009,IMMERSE,DISTANCE,"• You also know that the divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must shoot the one diver now",Scuba divers in team: 9,"Probability EM pulse
will function: 50%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved.
 
The group ","The one scuba diver died.

The group of 9 scuba divers  was saved.",9,50, scuba divers,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,250.51315850001993,None,space,9.276840500009712,250.51315850001993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,005:009,IMMERSE,DISTANCE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Scuba divers in team: 4,"Probability EM pulse
will function: 35%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved. 
 
The group ","The one scuba diver died.

The group of 4 scuba divers was saved.",4,35, scuba divers,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,259.82151979999617,None,space,2.5761064999969676,259.82151979999617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,005:009,IMMERSE,DISTANCE,"• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ",Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved.
 
The group ","The one scuba diver died.

The group of 6 scuba divers was saved.",6,35, scuba divers,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,281.35651389998384,None,,,,,,,264.42835729999933,None,y,4.8520266999839805,274.47356810001656,None,279.3555290999939,None,274.47356810001656,None,274.47356810001656,None,274.47356810001656,None,274.47356810001656,None,274.47356810001656,None,274.47356810001656,None,283.3760328000062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,005:009,IMMERSE,DISTANCE,"• You also know that there is one scuba diver separate from this group who is closer to you and currently not in the path of the sharks 

• If you shoot this one diver with a harpoon, he will certainly die and the sharks will sense his presence and switch trajectory away from his team of divers 

• If you do all of this, all  of the divers will be spared",Scuba divers in team: 3,"Probability EM pulse
will function: 65%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved.
 
The group ","The one scuba diver died.

The group of 3 scuba divers was saved.",3,65, scuba divers,,,,,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,297.53661170002306,None,,,,,,,,,n,6.142730500025209,289.3748690999928,None,295.5358859000262,None,289.3748690999928,None,289.3748690999928,None,289.3748690999928,None,289.3748690999928,None,289.3748690999928,None,289.3748690999928,None,299.55482710001525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,005:009,IMMERSE,DISTANCE,"• You also know that the divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must shoot the one diver now",Scuba divers in team: 9,"Probability EM pulse
will function: 50%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved.
 
The group ","The one scuba diver died.

The group of 9 scuba divers  was saved.",9,50, scuba divers,,,,,,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,309.89724329998717,None,,,,,,,,,n,2.3145269000087865,305.5551181000192,None,307.89544599998044,None,305.5551181000192,None,305.5551181000192,None,305.5551181000192,None,305.5551181000192,None,305.5551181000192,None,305.5551181000192,None,311.9181328000268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,005:009,IMMERSE,DISTANCE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Scuba divers in team: 4,"Probability EM pulse
will function: 35%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved. 
 
The group ","The one scuba diver died.

The group of 4 scuba divers was saved.",4,35, scuba divers,,,,,,,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,329.04678249999415,None,,,,,,,,,n,9.10854649997782,317.9131857000175,None,327.0452629000065,None,317.9131857000175,None,317.9131857000175,None,317.9131857000175,None,317.9131857000175,None,317.9131857000175,None,317.9131857000175,None,331.06535520002944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,005:009,IMMERSE,DISTANCE,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.0512771999929,None,338.0542216000031,None,space,4.391305199998897,338.0542216000031,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group ","The one worker in Room B died. 

The 4 workers in Room A were saved.",4,35, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 4","Probability of 
escape: 35%","• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system

• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there",,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,342.4745491000358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.52970040001674,None,space,23.788184400007594,344.52970040001674,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
