Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,MainLeftText,MainRightText,MainDilemmas,riskyAdDis,Evgamble,sureGroup,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,

You will only have 10 seconds to respond to each variation. If the "+" appears before you have responded, that means you are out of time. If this happens, do not attempt to respond. Simply look at the "+" and wait for the next trial. 

Once you have pressed a button there is no way to go back to the previous screen. If you press the wrong button or if you press a button too soon, don't worry.",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,21.00805169995874,None,space,0.08899089996702969,21.00805169995874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
"Moral judgments can be difficult to make, and we understand that people sometimes change their minds about moral questions or feel conflicted about the answers they've given. Don't think of your answers as "written in stone." All we want from you is a thoughtful first response.

While we want your answers to be thoughtful, you may find that in some cases the right answer seems immediately obvious. If that happens, it's okay to answer quickly. There are no trick questions, and in every case we have done our best to make the relevant information as clear as possible. 

Note, however, that no two scenarios are the same, although many are similar to each other. To answer a question properly you will have to read it carefully because it will always be different in some way from the questions you have already answered. ",,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,21.24759960011579,None,space,0.05660370015539229,21.24759960011579,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
"In some cases, you might feel that the situation we've described is not realistic. For example, it might say that if you do X, then Y will happen, and you might think that this is not realistic, that Y might not necessarily happen if you do X. If you find yourself having these sorts of doubts, you should suspend disbelief and assume that the situation really is the way it's described, even if it doesn't seem realistic to you.

Likewise, you may feel that you need more information than is provided about the situation before you can give your answer. If this happens, you should make your best guess about what you think the situation is like without making any unneccessary assumptions. 

For example, if it doesn't say that the other person in the situation is related to you, then you should assume that you and the other person are unrelated. ",,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,21.44293520017527,None,space,9.349289000034332,21.44293520017527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
"When you are done reading this screen you will begin two practice scenarios. 

Once again, you can press SPACE to advance through the first four screens. Then you will encounter a number of trials which you will rate on a 1-7 scale, and press ENTER to submit your rating. 

While you will see 10 such trials for each scenario in the actual experiment, you will only respond to 4 variations of each practice scenario.

Furthermore, when the actual experiment begins there will be an additional 10 seconds of fixation before the scenario text comes up, while the scanner warms up. Please begin reading as usual when the text comes up.

Press SPACE to begin the practice trials!
",,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,30.91827130015008,None,space,0.04977619997225702,30.91827130015008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 6,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 6 skydivers was saved.",6,35, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,30.99847730016336,None,33.058625699952245,None,space,3.2215548001695424,33.058625699952245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• Your crew sees a smaller group of divers apart from the rest who are much closer to reaching the ground, and instinctively moves a few feet to the left to catch them

• You know that there won't be enough time to reach the group on the right if you wait to catch the group on the left",Skydivers on right: 9,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 9 skydivers was saved.",9,50, skydivers,Skydivers on the left: 4,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,36.339426800142974,None,space,0.14876289991661906,36.339426800142974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 5 skydivers was saved.",5,50, skydivers,Skydivers on the left: 2,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,36.566142400028184,None,space,0.09793729986995459,36.566142400028184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 4 skydivers was saved.",4,65, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,36.717568000080064,None,space,0.12260300014168024,36.717568000080064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 8 skydivers was saved.",8,65, skydivers,Skydivers on the left: 5,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,36.88331359997392,None,space,0.13356369989924133,36.88331359997392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 6,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 6 skydivers was saved.",6,35, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,57.03588109998964,None,,,,,,,39.04867920000106,None,n,5.898016300052404,49.11823910009116,None,55.03389440011233,None,49.11823910009116,None,49.11823910009116,None,49.11823910009116,None,49.11823910009116,None,49.11823910009116,None,49.11823910009116,None,49.11823910009116,None,59.073593500070274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• Your crew sees a smaller group of divers apart from the rest who are much closer to reaching the ground, and instinctively moves a few feet to the left to catch them

• You know that there won't be enough time to reach the group on the right if you wait to catch the group on the left",Skydivers on right: 9,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 9 skydivers was saved.",9,50, skydivers,Skydivers on the left: 4,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,90.89704740000889,None,,,,,,,,,n,23.812026200117543,65.06016490003094,None,88.89531189994887,None,65.06016490003094,None,65.06016490003094,None,65.06016490003094,None,65.06016490003094,None,65.06016490003094,None,65.06016490003094,None,65.06016490003094,None,92.91222600010224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 5 skydivers was saved.",5,50, skydivers,Skydivers on the left: 2,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,111.0134292000439,None,,,,,,,,,n,10.074114300077781,98.90991259994917,None,109.01215340010822,None,98.90991259994917,None,98.90991259994917,None,98.90991259994917,None,98.90991259994917,None,98.90991259994917,None,98.90991259994917,None,98.90991259994917,None,113.02774170017801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 4 skydivers was saved.",4,65, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,123.89104590006173,None,,,,,,,,,n,2.830242799827829,119.03409610013478,None,121.88915299996734,None,119.03409610013478,None,119.03409610013478,None,119.03409610013478,None,119.03409610013478,None,119.03409610013478,None,119.03409610013478,None,119.03409610013478,None,125.90706670004874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 8 skydivers was saved.",8,65, skydivers,Skydivers on the left: 5,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,155.0333185000345,None,,,,,,,,,n,21.110877899918705,131.90531149995513,None,153.0318883000873,None,131.90531149995513,None,131.90531149995513,None,131.90531149995513,None,131.90531149995513,None,131.90531149995513,None,131.90531149995513,None,131.90531149995513,None,157.05018220003694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,000:005,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.03870690008625,None,164.04163470002823,None,space,6.830463199876249,164.04163470002823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 4 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,000:005,Workers in Room A: 5,"Probability of 
escape: 35%","• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",ad,3,3,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,170.89883140008897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.93771460000426,None,space,2.2382777999155223,172.93771460000426,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 3 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 10,"Probability of 
escape: 50%","• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",dis,3.5,4,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.22298500011675,None,space,2.129054700024426,175.22298500011675,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 7 workers in Room A were saved.",6,65, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 6,"Probability of 
escape: 65%","• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there",EQUAL,~4,4,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.41300880000927,None,space,1.3311721999198198,177.41300880000927,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 6 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,000:005,Workers in Room A: 12,"Probability of 
escape: 50%","• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",EQUAL,6,6,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.7935699999798,None,space,1.0704493001103401,178.7935699999798,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 11 workers in Room A were saved.",5,65, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 5,"Probability of 
escape: 65%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",dis,3.25,4,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.90244820015505,None,space,2.874119399813935,179.90244820015505,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 4 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,000:005,Workers in Room A: 5,"Probability of 
escape: 35%","• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",ad,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,210.29617930017412,None,,,,,,,184.81236630002968,None,,,,,,,,,,,,,,,,,,,,,212.31880869995803,None,,,,,,,,,,,,,,,n,13.395860800053924,194.86829420016147,None,208.29461410013027,None,194.86829420016147,None,194.86829420016147,None,194.86829420016147,None,194.86829420016147,None,194.86829420016147,None,194.86829420016147,None,194.86829420016147,None,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 3 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 10,"Probability of 
escape: 50%","• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",dis,3.5,4,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,237.2184331000317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.2390678001102,None,,,,,,,,,,,,,,,n,16.874592799926177,218.31761980010197,None,235.2167265000753,None,218.31761980010197,None,218.31761980010197,None,218.31761980010197,None,218.31761980010197,None,218.31761980010197,None,218.31761980010197,None,218.31761980010197,None,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 7 workers in Room A were saved.",6,65, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 6,"Probability of 
escape: 65%","• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there",EQUAL,~4,4,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,256.91863099997863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.93860310013406,None,,,,,,,,,,,,,,,n,9.656465400010347,245.2314478000626,None,254.91634180000983,None,245.2314478000626,None,245.2314478000626,None,245.2314478000626,None,245.2314478000626,None,245.2314478000626,None,245.2314478000626,None,245.2314478000626,None,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
