Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,rows2,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 5 skydivers was saved.",5,50, skydivers,Skydivers on the left: 2,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,17.86500409990549,None,space,0.09735880000516772,17.86500409990549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_1256,MoralSRBinaryChoice,3.2.4,59.88805725550468,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 4 skydivers was saved.",4,65, skydivers,Skydivers on the left: 3,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,18.014947599964216,None,space,0.10705640004016459,18.014947599964216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_1256,MoralSRBinaryChoice,3.2.4,59.88805725550468,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 8 skydivers was saved.",8,65, skydivers,Skydivers on the left: 5,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,18.166847300017253,None,space,0.13182140002027154,18.166847300017253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_1256,MoralSRBinaryChoice,3.2.4,59.88805725550468,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 6,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 6 skydivers was saved.",6,35, skydivers,Skydivers on the left: 3,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,35.766750500071794,None,,,,,,,20.34532570000738,None,y,3.3391591999679804,30.398805600125343,None,33.765076800016686,None,30.398805600125343,None,30.398805600125343,None,30.398805600125343,None,30.398805600125343,None,30.398805600125343,None,30.398805600125343,None,30.398805600125343,None,37.799473999999464,None,,,,,,,,,1,001,2019_Nov_18_1256,MoralSRBinaryChoice,3.2.4,59.88805725550468,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• Your crew sees a smaller group of divers apart from the rest who are much closer to reaching the ground, and instinctively moves a few feet to the left to catch them

• You know that there won't be enough time to reach the group on the right if you wait to catch the group on the left",Skydivers on right: 9,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 9 skydivers was saved.",9,50, skydivers,Skydivers on the left: 4,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,48.04362040013075,None,,,,,,,,,n,2.2210965000558645,43.78887729998678,None,46.041727599920705,None,43.78887729998678,None,43.78887729998678,None,43.78887729998678,None,43.78887729998678,None,43.78887729998678,None,43.78887729998678,None,43.78887729998678,None,50.05824499996379,None,,,,,,,,,1,001,2019_Nov_18_1256,MoralSRBinaryChoice,3.2.4,59.88805725550468,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 5 skydivers was saved.",5,50, skydivers,Skydivers on the left: 2,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,60.287076600128785,None,,,,,,,,,n,2.2104696000460535,56.056138599989936,None,58.28538540005684,None,56.056138599989936,None,56.056138599989936,None,56.056138599989936,None,56.056138599989936,None,56.056138599989936,None,56.056138599989936,None,56.056138599989936,None,62.302841499913484,None,,,,,,,,,1,001,2019_Nov_18_1256,MoralSRBinaryChoice,3.2.4,59.88805725550468,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 4 skydivers was saved.",4,65, skydivers,Skydivers on the left: 3,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,72.780710299965,None,,,,,,,,,n,2.455357300117612,68.3066374999471,None,70.77913759998046,None,68.3066374999471,None,68.3066374999471,None,68.3066374999471,None,68.3066374999471,None,68.3066374999471,None,68.3066374999471,None,68.3066374999471,None,74.7978900000453,None,,,,,,,,,1,001,2019_Nov_18_1256,MoralSRBinaryChoice,3.2.4,59.88805725550468,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 8 skydivers was saved.",8,65, skydivers,Skydivers on the left: 5,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,84.6070413000416,None,,,,,,,,,n,1.7936219000257552,80.7930139999371,None,82.60558729991317,None,80.7930139999371,None,80.7930139999371,None,80.7930139999371,None,80.7930139999371,None,80.7930139999371,None,80.7930139999371,None,80.7930139999371,None,86.62988850008696,None,,,,,,,,,1,001,2019_Nov_18_1256,MoralSRBinaryChoice,3.2.4,59.88805725550468,
,000:005,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_1256,MoralSRBinaryChoice,3.2.4,59.88805725550468,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.61181599996053,None,93.61485010012984,None,space,1.25914950016886,93.61485010012984,None,1,001,2019_Nov_18_1256,MoralSRBinaryChoice,3.2.4,59.88805725550468,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.90028310008347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
