Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"When you are done reading this screen you will begin two practice scenarios. 

Once again, you can press SPACE to advance through the first four screens. Then you will encounter a number of trials which you will rate on a 1-7 scale, and press ENTER to submit your rating. 

While you will see 10 such trials for each scenario in the actual experiment, you will only respond to 4 variations of each practice scenario.

Furthermore, when the actual experiment begins there will be an additional 10 seconds of fixation before the scenario text comes up, while the scanner warms up. Please begin reading as usual when the text comes up.

Press SPACE to begin the practice trials!
",,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,12.91092319999916,None,space,0.06850990000020829,12.91092319999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 6,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 3 skydivers on the left were saved.
 
The ","The 3 skydivers on the left died.

The 6 skydivers on the right were saved.",6,35, skydivers on the right,Skydivers on the left: 3,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,13.003681500000312,None,15.061771099999532,None,space,1.9655737000011868,15.061771099999532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• Your crew sees a smaller group of divers apart from the rest who are much closer to reaching the ground, and instinctively moves a few feet to the left to catch them

• You know that there won't be enough time to reach the group on the right if you wait to catch the group on the left",Skydivers on right: 9,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 4 skydivers on the left were saved.
 
The ","The 4 skydivers on the left died.

The 9 skydivers on the right were saved.",9,50, skydivers on the right,Skydivers on the left: 4,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,17.08787409999968,None,space,0.16340669999954116,17.08787409999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 2 skydivers on the left were saved.
 
The ","The 2 skydivers on the left died.

The 5 skydivers on the right were saved.",5,50, skydivers on the right,Skydivers on the left: 2,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,17.31554750000032,None,space,0.0958587000004627,17.31554750000032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 3 skydivers on the left were saved.
 
The ","The 3 skydivers on the left died.

The 4 skydivers on the right were saved.",4,65, skydivers on the right,Skydivers on the left: 3,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,17.469238399999085,None,space,0.08670979999988049,17.469238399999085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 5 skydivers on the left were saved.
 
The ","The 5 skydivers on the left died.

The 8 skydivers on the right were saved.",8,65, skydivers on the right,Skydivers on the left: 5,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,17.585503599999356,None,space,0.11410629999954836,17.585503599999356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 6,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 3 skydivers on the left were saved.
 
The ","The 3 skydivers on the left died.

The 6 skydivers on the right were saved.",6,35, skydivers on the right,Skydivers on the left: 3,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,38.05794659999992,None,,,,,,,19.731864499999574,None,n,6.23817869999948,29.79756610000004,None,36.05623259999993,None,29.79756610000004,None,29.79756610000004,None,29.79756610000004,None,29.79756610000004,None,29.79756610000004,None,29.79756610000004,None,29.79756610000004,None,40.09436679999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• Your crew sees a smaller group of divers apart from the rest who are much closer to reaching the ground, and instinctively moves a few feet to the left to catch them

• You know that there won't be enough time to reach the group on the right if you wait to catch the group on the left",Skydivers on right: 9,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 4 skydivers on the left were saved.
 
The ","The 4 skydivers on the left died.

The 9 skydivers on the right were saved.",9,50, skydivers on the right,Skydivers on the left: 4,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,50.30134589999943,None,,,,,,,,,n,2.1954444000002695,46.07993239999996,None,48.2998549999993,None,46.07993239999996,None,46.07993239999996,None,46.07993239999996,None,46.07993239999996,None,46.07993239999996,None,46.07993239999996,None,46.07993239999996,None,52.32063879999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 2 skydivers on the left were saved.
 
The ","The 2 skydivers on the left died.

The 5 skydivers on the right were saved.",5,50, skydivers on the right,Skydivers on the left: 2,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,62.81206139999995,None,,,,,,,,,y,2.474795100000847,58.31255779999992,None,60.810248600000705,None,58.31255779999992,None,58.31255779999992,None,58.31255779999992,None,58.31255779999992,None,58.31255779999992,None,58.31255779999992,None,58.31255779999992,None,64.82886150000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 3 skydivers on the left were saved.
 
The ","The 3 skydivers on the left died.

The 4 skydivers on the right were saved.",4,65, skydivers on the right,Skydivers on the left: 3,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,74.80525339999986,None,,,,,,,,,y,1.9574432999997953,70.82991720000064,None,72.80352289999973,None,70.82991720000064,None,70.82991720000064,None,70.82991720000064,None,70.82991720000064,None,70.82991720000064,None,70.82991720000064,None,70.82991720000064,None,76.82003710000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 5 skydivers on the left were saved.
 
The ","The 5 skydivers on the left died.

The 8 skydivers on the right were saved.",8,65, skydivers on the right,Skydivers on the left: 5,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,86.99864750000052,None,,,,,,,,,n,2.1615323000005446,82.81785339999988,None,84.99708889999965,None,82.81785339999988,None,82.81785339999988,None,82.81785339999988,None,82.81785339999988,None,82.81785339999988,None,82.81785339999988,None,82.81785339999988,None,89.01766169999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,000:005,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0035695000006,None,96.00611369999933,None,space,1.8854357999989588,96.00611369999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,,DE-EMPHASIZE,EMPHASIZE,"• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",Workers in Room A: 5,Probability of escape: 35%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 3 workers in Room B lived.

The ","The 3 workers in Room B died. 

The 5 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,005:009,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,97.90755890000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.94310489999953,None,space,3.212229999999181,99.94310489999953,None,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,,DE-EMPHASIZE,EMPHASIZE,"• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",Workers in Room A: 10,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 10 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,005:009,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.19858799999929,None,space,0.14875320000101055,103.19858799999929,None,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there",Workers in Room A: 6,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 6 workers in Room A were saved.",6,65, workers in Room A,Workers in Room B: 4,005:009,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.40380249999907,None,space,1.9595502999982273,103.40380249999907,None,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,,DE-EMPHASIZE,EMPHASIZE,"• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",Workers in Room A: 12,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 6 workers in Room B lived.

The ","The 6 workers in Room B died. 

The 12 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,005:009,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.39874860000054,None,space,1.5812253999993118,105.39874860000054,None,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,,DE-EMPHASIZE,EMPHASIZE,"• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",Workers in Room A: 5,Probability of escape: 35%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 3 workers in Room B lived.

The ","The 3 workers in Room B died. 

The 5 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,005:009,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,124.5964569000007,None,,,,,,,109.00388600000042,None,,,,,,,,,,,,,,,,,,,,,126.61402749999979,None,,,,,,,,,,,,,,,n,3.525322600000436,119.0540359000006,None,122.59486540000034,None,119.0540359000006,None,119.0540359000006,None,119.0540359000006,None,119.0540359000006,None,119.0540359000006,None,119.0540359000006,None,119.0540359000006,None,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,,DE-EMPHASIZE,EMPHASIZE,"• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",Workers in Room A: 10,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 10 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,005:009,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,136.82372000000032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.84253089999947,None,,,,,,,,,,,,,,,n,2.1881788999999117,132.61529789999986,None,134.82169570000042,None,132.61529789999986,None,132.61529789999986,None,132.61529789999986,None,132.61529789999986,None,132.61529789999986,None,132.61529789999986,None,132.61529789999986,None,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there",Workers in Room A: 6,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 6 workers in Room A were saved.",6,65, workers in Room A,Workers in Room B: 4,005:009,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,150.26784000000043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.28399600000012,None,,,,,,,,,,,,,,,n,3.409155199999077,144.83416550000038,None,148.26608940000006,None,144.83416550000038,None,144.83416550000038,None,144.83416550000038,None,144.83416550000038,None,144.83416550000038,None,144.83416550000038,None,144.83416550000038,None,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,,DE-EMPHASIZE,EMPHASIZE,"• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",Workers in Room A: 12,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 6 workers in Room B lived.

The ","The 6 workers in Room B died. 

The 12 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,005:009,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,164.1126346000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.12577729999975,None,,,,,,,,,,,,,,,n,3.797412099998837,158.28589789999933,None,162.11086090000026,None,158.28589789999933,None,158.28589789999933,None,158.28589789999933,None,158.28589789999933,None,158.28589789999933,None,158.28589789999933,None,158.28589789999933,None,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,005:009,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1150,MoralSRBinaryChoice,3.2.4,60.10428092750809,
