Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,MainLeftText,MainRightText,MainDilemmas,riskyAdDis,Evgamble,sureGroup,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 4 skydivers was saved.",4,65, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,17.676366199972108,None,space,0.10654579987749457,17.676366199972108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 8 skydivers was saved.",8,65, skydivers,Skydivers on the left: 5,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,17.827007200103253,None,space,0.115666399942711,17.827007200103253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 6,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 6 skydivers was saved.",6,35, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,39.66512109991163,None,,,,,,,19.980178900063038,None,n,7.5974119999445975,30.04135309997946,None,37.663488999940455,None,30.04135309997946,None,30.04135309997946,None,30.04135309997946,None,30.04135309997946,None,30.04135309997946,None,30.04135309997946,None,30.04135309997946,None,41.698856400093064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• Your crew sees a smaller group of divers apart from the rest who are much closer to reaching the ground, and instinctively moves a few feet to the left to catch them

• You know that there won't be enough time to reach the group on the right if you wait to catch the group on the left",Skydivers on right: 9,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 9 skydivers was saved.",9,50, skydivers,Skydivers on the left: 4,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,66.78755769995041,None,,,,,,,,,n,17.07131849997677,47.68737530009821,None,64.78595920000225,None,47.68737530009821,None,47.68737530009821,None,47.68737530009821,None,47.68737530009821,None,47.68737530009821,None,47.68737530009821,None,47.68737530009821,None,68.80244500003755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 5 skydivers was saved.",5,50, skydivers,Skydivers on the left: 2,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,78.54734189994633,None,,,,,,,,,n,1.7189994999207556,74.79974019993097,None,76.54588619992137,None,74.79974019993097,None,74.79974019993097,None,74.79974019993097,None,74.79974019993097,None,74.79974019993097,None,74.79974019993097,None,74.79974019993097,None,80.56326710013673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 4 skydivers was saved.",4,65, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,92.47561879991554,None,,,,,,,,,n,3.888297399971634,86.56756939995103,None,90.47400299995206,None,86.56756939995103,None,86.56756939995103,None,86.56756939995103,None,86.56756939995103,None,86.56756939995103,None,86.56756939995103,None,86.56756939995103,None,94.4915813000407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 8 skydivers was saved.",8,65, skydivers,Skydivers on the left: 5,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,104.95253859995864,None,,,,,,,,,n,2.446311700157821,100.48833040008321,None,102.95086860004812,None,100.48833040008321,None,100.48833040008321,None,100.48833040008321,None,100.48833040008321,None,100.48833040008321,None,100.48833040008321,None,100.48833040008321,None,106.96835569990799,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,000:005,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.95762120001018,None,113.96017719991505,None,space,1.5664574999827892,113.96017719991505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 4 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,000:005,Workers in Room A: 5,"Probability of 
escape: 35%","• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",ad,3,3,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,115.54709580005147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.58263009996153,None,space,2.792016999796033,117.58263009996153,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 3 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 10,"Probability of 
escape: 50%","• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",dis,3.5,4,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.41975330002606,None,space,0.2909251998644322,120.41975330002606,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 7 workers in Room A were saved.",6,65, workers in Room A,Workers in Room B: 4,000:005,"Workers in 
Room A: 6","Probability of 
escape: 65%","• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there",EQUAL,~4,4,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.77551180007868,None,space,0.2718289000913501,120.77551180007868,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 6 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,000:005,"Workers in 
Room A: 12","Probability of 
escape: 50%","• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",EQUAL,6,6,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.08785269991495,None,space,0.9507739001419395,121.08785269991495,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 11 workers in Room A were saved.",5,65, workers in Room A,Workers in Room B: 4,000:005,"Workers in 
Room A: 5","Probability of 
escape: 65%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",dis,3.25,4,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.08066550013609,None,space,0.9020690000616014,122.08066550013609,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 4 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,000:005,Workers in Room A: 5,"Probability of 
escape: 35%","• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",ad,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,139.31438190001063,None,,,,,,,125.00880039995536,None,,,,,,,,,,,,,,,,,,,,,141.33770629996434,None,,,,,,,,,,,,,,,n,2.2282016999088228,135.05836519994773,None,137.31267579994164,None,135.05836519994773,None,135.05836519994773,None,135.05836519994773,None,135.05836519994773,None,135.05836519994773,None,135.05836519994773,None,135.05836519994773,None,2,001,2019_Nov_18_1305,MoralSRBinaryChoice,3.2.4,60.09203702111808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.31945810001343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
