Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,MainLeftText,MainRightText,MainDilemmas,riskyAdDis,Evgamble,sureGroup,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"When you are done reading this screen you will begin two practice scenarios. 

Once again, you can press SPACE to advance through the first four screens. Then you will encounter a number of trials which you will rate on a 1-7 scale, and press ENTER to submit your rating. 

While you will see 10 such trials for each scenario in the actual experiment, you will only respond to 4 variations of each practice scenario.

Furthermore, when the actual experiment begins there will be an additional 10 seconds of fixation before the scenario text comes up, while the scanner warms up. Please begin reading as usual when the text comes up.

Press SPACE to begin the practice trials!
",,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,21.5449413000606,None,space,0.5915417999494821,21.5449413000606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 6,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 6 skydivers was saved.",6,35, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,22.16477290005423,None,24.224331400124356,None,space,2.456179200205952,24.224331400124356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• Your crew sees a smaller group of divers apart from the rest who are much closer to reaching the ground, and instinctively moves a few feet to the left to catch them

• You know that there won't be enough time to reach the group on the right if you wait to catch the group on the left",Skydivers on right: 9,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 9 skydivers was saved.",9,50, skydivers,Skydivers on the left: 4,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,26.739757200004533,None,space,0.13307589991018176,26.739757200004533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 5 skydivers was saved.",5,50, skydivers,Skydivers on the left: 2,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,26.94691890012473,None,space,0.07003040006384254,26.94691890012473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 4 skydivers was saved.",4,65, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,27.066955500049517,None,space,0.30163219990208745,27.066955500049517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 8 skydivers was saved.",8,65, skydivers,Skydivers on the left: 5,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,27.400432999944314,None,space,0.14404799998737872,27.400432999944314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 6,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 6 skydivers was saved.",6,35, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,49.72099620010704,None,,,,,,,29.579119600122795,None,n,8.039991399971768,39.648865499999374,None,47.71935010002926,None,39.648865499999374,None,39.648865499999374,None,39.648865499999374,None,39.648865499999374,None,39.648865499999374,None,39.648865499999374,None,39.648865499999374,None,51.759129400132224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• Your crew sees a smaller group of divers apart from the rest who are much closer to reaching the ground, and instinctively moves a few feet to the left to catch them

• You know that there won't be enough time to reach the group on the right if you wait to catch the group on the left",Skydivers on right: 9,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 9 skydivers was saved.",9,50, skydivers,Skydivers on the left: 4,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,63.63209239998832,None,,,,,,,,,n,3.8650241000577807,57.74348139995709,None,61.631030400050804,None,57.74348139995709,None,57.74348139995709,None,57.74348139995709,None,57.74348139995709,None,57.74348139995709,None,57.74348139995709,None,57.74348139995709,None,65.64677640004084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 5 skydivers was saved.",5,50, skydivers,Skydivers on the left: 2,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,80.73015519999899,None,,,,,,,,,n,7.068429599981755,71.64402869995683,None,78.72806670004502,None,71.64402869995683,None,71.64402869995683,None,71.64402869995683,None,71.64402869995683,None,71.64402869995683,None,71.64402869995683,None,71.64402869995683,None,82.74571210006252,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 4 skydivers was saved.",4,65, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,100.16278410004452,None,,,,,,,,,n,9.38633650005795,88.75014439993538,None,98.16104450006969,None,88.75014439993538,None,88.75014439993538,None,88.75014439993538,None,88.75014439993538,None,88.75014439993538,None,88.75014439993538,None,88.75014439993538,None,102.1779921001289,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 8 skydivers was saved.",8,65, skydivers,Skydivers on the left: 5,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,120.47966239997186,None,,,,,,,,,n,10.28172399988398,108.17486310005188,None,118.47806100011803,None,108.17486310005188,None,108.17486310005188,None,108.17486310005188,None,108.17486310005188,None,108.17486310005188,None,108.17486310005188,None,108.17486310005188,None,122.49577290005982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,000:005,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.4846604000777,None,129.48721630009823,None,space,7.769405499799177,129.48721630009823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 4 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,000:005,Workers in Room A: 5,"Probability of 
escape: 35%","• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",ad,3,3,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,137.27886319998652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.31439640000463,None,space,3.814653000095859,139.31439640000463,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 3 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 10,"Probability of 
escape: 50%","• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",dis,3.5,4,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.17044900008477,None,space,0.11799559998326004,143.17044900008477,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 7 workers in Room A were saved.",6,65, workers in Room A,Workers in Room B: 4,000:005,"Workers in 
Room A: 6","Probability of 
escape: 65%","• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there",EQUAL,~4,4,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.3592445999384,None,space,0.08933880017139018,143.3592445999384,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 6 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,000:005,"Workers in 
Room A: 12","Probability of 
escape: 50%","• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",EQUAL,6,6,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.48591660009697,None,space,0.10650609992444515,143.48591660009697,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 11 workers in Room A were saved.",5,65, workers in Room A,Workers in Room B: 4,000:005,"Workers in 
Room A: 5","Probability of 
escape: 65%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",dis,3.25,4,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.62945750006475,None,space,0.10720549989491701,143.62945750006475,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 4 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,000:005,Workers in Room A: 5,"Probability of 
escape: 35%","• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",ad,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,173.8905627001077,None,,,,,,,145.7714500001166,None,,,,,,,,,,,,,,,,,,,,,175.91186770005152,None,,,,,,,,,,,,,,,n,16.044544899836183,155.81991480011493,None,171.8889433001168,None,155.81991480011493,None,155.81991480011493,None,155.81991480011493,None,155.81991480011493,None,155.81991480011493,None,155.81991480011493,None,155.81991480011493,None,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 3 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 10,"Probability of 
escape: 50%","• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",dis,3.5,4,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,189.37025390006602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.3895610999316,None,,,,,,,,,,,,,,,n,5.426189000019804,181.91058459994383,None,187.36861020000651,None,181.91058459994383,None,181.91058459994383,None,181.91058459994383,None,181.91058459994383,None,181.91058459994383,None,181.91058459994383,None,181.91058459994383,None,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 7 workers in Room A were saved.",6,65, workers in Room A,Workers in Room B: 4,000:005,"Workers in 
Room A: 6","Probability of 
escape: 65%","• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there",EQUAL,~4,4,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,205.03297609998845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.05160050000995,None,,,,,,,,,,,,,,,n,5.61826439993456,197.3820780001115,None,203.03143540001474,None,197.3820780001115,None,197.3820780001115,None,197.3820780001115,None,197.3820780001115,None,197.3820780001115,None,197.3820780001115,None,197.3820780001115,None,2,001,2019_Nov_18_1314,MoralSRBinaryChoice,3.2.4,60.00913336184005,
