Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,MainLeftText,MainRightText,MainDilemmas,riskyAdDis,Evgamble,sureGroup,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"When you are done reading this screen you will begin two practice scenarios. 

Once again, you can press SPACE to advance through the first four screens. Then you will encounter a number of trials which you will rate on a 1-7 scale, and press ENTER to submit your rating. 

While you will see 10 such trials for each scenario in the actual experiment, you will only respond to 4 variations of each practice scenario.

Furthermore, when the actual experiment begins there will be an additional 10 seconds of fixation before the scenario text comes up, while the scanner warms up. Please begin reading as usual when the text comes up.

Press SPACE to begin the practice trials!
",,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,31.324642100000347,None,space,0.39125370000056137,31.324642100000347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 6,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 6 skydivers was saved.",6,35, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,31.748133200000666,None,33.81181430000015,None,space,1.4719133999997212,33.81181430000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• Your crew sees a smaller group of divers apart from the rest who are much closer to reaching the ground, and instinctively moves a few feet to the left to catch them

• You know that there won't be enough time to reach the group on the right if you wait to catch the group on the left",Skydivers on right: 9,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 9 skydivers was saved.",9,50, skydivers,Skydivers on the left: 4,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,35.35025990000031,None,space,1.6936933999995745,35.35025990000031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 5 skydivers was saved.",5,50, skydivers,Skydivers on the left: 2,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,37.109680300000036,None,space,1.006202000000485,37.109680300000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 4 skydivers was saved.",4,65, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,38.161858600000414,None,space,1.0258640000001833,38.161858600000414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 8 skydivers was saved.",8,65, skydivers,Skydivers on the left: 5,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,39.23134800000025,None,space,1.0285328999998455,39.23134800000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 6,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 6 skydivers was saved.",6,35, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,58.23436970000057,None,,,,,,,42.296063000000686,None,y,3.835034199999427,52.37671760000012,None,56.23259920000055,None,52.37671760000012,None,52.37671760000012,None,52.37671760000012,None,52.37671760000012,None,52.37671760000012,None,52.37671760000012,None,52.37671760000012,None,60.26863440000034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• Your crew sees a smaller group of divers apart from the rest who are much closer to reaching the ground, and instinctively moves a few feet to the left to catch them

• You know that there won't be enough time to reach the group on the right if you wait to catch the group on the left",Skydivers on right: 9,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 9 skydivers was saved.",9,50, skydivers,Skydivers on the left: 4,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,87.1085378000007,None,,,,,,,,,n,18.818922200000088,66.2566811000006,None,85.1065922000007,None,66.2566811000006,None,66.2566811000006,None,66.2566811000006,None,66.2566811000006,None,66.2566811000006,None,66.2566811000006,None,66.2566811000006,None,89.12322170000061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 5 skydivers was saved.",5,50, skydivers,Skydivers on the left: 2,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,110.07726679999996,None,,,,,,,,,n,12.91054669999994,95.1413521000004,None,108.07625580000058,None,95.1413521000004,None,95.1413521000004,None,95.1413521000004,None,95.1413521000004,None,95.1413521000004,None,95.1413521000004,None,95.1413521000004,None,112.08979350000027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 4 skydivers was saved.",4,65, skydivers,Skydivers on the left: 3,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,136.28349100000014,None,,,,,,,,,y,16.16303440000047,118.09674080000059,None,134.28331210000033,None,118.09674080000059,None,118.09674080000059,None,118.09674080000059,None,118.09674080000059,None,118.09674080000059,None,118.09674080000059,None,118.09674080000059,None,138.29572410000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group has a chance of surviving","The skydivers on the left were saved.
 
The group ","The skydivers on the left died.

The group of 8 skydivers was saved.",8,65, skydivers,Skydivers on the left: 5,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,148.24224970000068,None,,,,,,,,,n,1.9167390000002342,144.29515160000028,None,146.24060550000013,None,144.29515160000028,None,144.29515160000028,None,144.29515160000028,None,144.29515160000028,None,144.29515160000028,None,144.29515160000028,None,144.29515160000028,None,150.25655740000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,000:005,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.24683540000024,None,157.2525495,None,space,2.7510259000000588,157.2525495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 4 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,000:005,Workers in Room A: 5,"Probability of 
escape: 35%","• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",ad,3,3,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,160.01886100000047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.06048910000027,None,space,3.3830813000004127,162.06048910000027,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 3 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 10,"Probability of 
escape: 50%","• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",dis,3.5,4,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.49273250000078,None,space,0.86319420000018,165.49273250000078,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 7 workers in Room A were saved.",6,65, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 6,"Probability of 
escape: 65%","• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there",EQUAL,~4,4,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.4157305000008,None,space,0.6758207000002585,166.4157305000008,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 6 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,000:005,Workers in Room A: 12,"Probability of 
escape: 50%","• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",EQUAL,6,6,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.1288439,None,space,0.7469474999998056,167.1288439,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 11 workers in Room A were saved.",5,65, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 5,"Probability of 
escape: 65%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",dis,3.25,4,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.90364630000022,None,space,0.7079635000000053,167.90364630000022,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 4 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,000:005,Workers in Room A: 5,"Probability of 
escape: 35%","• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",ad,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,188.9927974000002,None,,,,,,,170.6471132000006,None,,,,,,,,,,,,,,,,,,,,,191.01375160000043,None,,,,,,,,,,,,,,,n,6.264453099999628,180.69913410000026,None,186.9913961000002,None,180.69913410000026,None,180.69913410000026,None,180.69913410000026,None,180.69913410000026,None,180.69913410000026,None,180.69913410000026,None,180.69913410000026,None,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 3 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 10,"Probability of 
escape: 50%","• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",dis,3.5,4,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,218.88440860000082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.90243590000046,None,,,,,,,,,,,,,,,n,19.855353300000388,197.01214080000045,None,216.88284010000007,None,197.01214080000045,None,197.01214080000045,None,197.01214080000045,None,197.01214080000045,None,197.01214080000045,None,197.01214080000045,None,197.01214080000045,None,2,001,2019_Nov_21_1101,MoralSRBinaryChoice,3.2.4,59.95477012131111,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.53312710000046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,8.612014500000441,226.89559530000042,None,235.53178920000028,None,226.89559530000042,None,226.89559530000042,None,226.89559530000042,None,226.89559530000042,None,226.89559530000042,None,226.89559530000042,None,226.89559530000042,None,,,,,,,
