Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,rows2,CueInst,MainLeftText,MainRightText,MainDilemmas,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,participant,session,date,expName,psychopyVersion,frameRate,

You will only have 10 seconds to respond to each variation. If the "+" appears before you have responded, that means you are out of time. If this happens, do not attempt to respond. Simply look at the "+" and wait for the next trial. 

Once you have pressed a button there is no way to go back to the previous screen. If you press the wrong button or if you press a button too soon, don't worry.",,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,34.53560460000881,None,space,0.7732355000043754,34.53560460000881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
"Moral judgments can be difficult to make, and we understand that people sometimes change their minds about moral questions or feel conflicted about the answers they've given. Don't think of your answers as "written in stone." All we want from you is a thoughtful first response.

While we want your answers to be thoughtful, you may find that in some cases the right answer seems immediately obvious. If that happens, it's okay to answer quickly. There are no trick questions, and in every case we have done our best to make the relevant information as clear as possible. 

Note, however, that no two scenarios are the same, although many are similar to each other. To answer a question properly you will have to read it carefully because it will always be different in some way from the questions you have already answered. ",,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,35.56926139999996,None,space,1.008969899994554,35.56926139999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
"In some cases, you might feel that the situation we've described is not realistic. For example, it might say that if you do X, then Y will happen, and you might think that this is not realistic, that Y might not necessarily happen if you do X. If you find yourself having these sorts of doubts, you should suspend disbelief and assume that the situation really is the way it's described, even if it doesn't seem realistic to you.

Likewise, you may feel that you need more information than is provided about the situation before you can give your answer. If this happens, you should make your best guess about what you think the situation is like without making any unneccessary assumptions. 

For example, if it doesn't say that the other person in the situation is related to you, then you should assume that you and the other person are unrelated. ",,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,36.99611320000258,None,space,0.3422685999976238,36.99611320000258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
"When you are done reading this screen you will begin two practice scenarios. 

Once again, you can press SPACE to advance through the first four screens. Then you will encounter a number of trials which you will rate on a 1-7 scale, and press ENTER to submit your rating. 

While you will see 10 such trials for each scenario in the actual experiment, you will only respond to 4 variations of each practice scenario.

Furthermore, when the actual experiment begins there will be an additional 10 seconds of fixation before the scenario text comes up, while the scanner warms up. Please begin reading as usual when the text comes up.

Press SPACE to begin the practice trials!
",,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,37.52836670000397,None,space,0.2451275000057649,37.52836670000397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,00:005,DISTANCE,IMMERSE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 3,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 3 skydivers was saved.",3,35, skydivers,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,37.82100010001159,None,39.938649200004875,None,space,0.628305400008685,39.938649200004875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,00:005,DISTANCE,IMMERSE,"• Your crew sees one diver apart from the rest who is much closer to reaching the ground, and instinctively moves a few feet to the left to catch him

• You know that there won't be enough time to reach the group if you wait to catch the one",Divers on right: 4,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 4 skydivers was saved.",4,50, skydivers,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,40.87268380000023,None,space,0.2916276000032667,40.87268380000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,00:005,DISTANCE,IMMERSE,"• If nothing is done, the safety crew will catch the diver to the left, avoiding his death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the one diver won't be caught",Divers on right: 7,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 7 skydivers was saved.",7,50, skydivers,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,41.28835370000161,None,space,0.33758079999824986,41.28835370000161,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,00:005,DISTANCE,IMMERSE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Divers on right: 5,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 5 skydivers was saved.",5,65, skydivers,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,41.821751499999664,None,space,0.12440319999586791,41.821751499999664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,00:005,DISTANCE,IMMERSE,"Consider each of the following scenarios and, for each one, determine if you will perform the specified action.",Divers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 8 skydivers was saved.",8,65, skydivers,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,42.0217929000064,None,space,0.40627999999560416,42.0217929000064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,00:005,DISTANCE,IMMERSE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 3,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 3 skydivers was saved.",3,35, skydivers,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,67.63810039999953,None,,,,,,,44.50361710001016,None,n,3.942197500000475,61.6580369000003,None,65.62286480001057,None,61.6580369000003,None,61.6580369000003,None,61.6580369000003,None,61.6580369000003,None,61.6580369000003,None,61.6580369000003,None,69.72156380000524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,00:005,DISTANCE,IMMERSE,"• Your crew sees one diver apart from the rest who is much closer to reaching the ground, and instinctively moves a few feet to the left to catch him

• You know that there won't be enough time to reach the group if you wait to catch the one",Divers on right: 4,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 4 skydivers was saved.",4,50, skydivers,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,79.85436740001023,None,,,,,,,,,n,2.025285600000643,75.80444990000979,None,77.85465839999961,None,75.80444990000979,None,75.80444990000979,None,75.80444990000979,None,75.80444990000979,None,75.80444990000979,None,75.80444990000979,None,81.88782170000195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,00:005,DISTANCE,IMMERSE,"• If nothing is done, the safety crew will catch the diver to the left, avoiding his death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the one diver won't be caught",Divers on right: 7,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 7 skydivers was saved.",7,50, skydivers,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,106.53749860000971,None,,,,,,,,,n,16.620921399997314,87.87436880001042,None,104.52485960000195,None,87.87436880001042,None,87.87436880001042,None,87.87436880001042,None,87.87436880001042,None,87.87436880001042,None,87.87436880001042,None,108.57070090000343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,00:005,DISTANCE,IMMERSE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Divers on right: 5,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 5 skydivers was saved.",5,65, skydivers,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,120.45380820000719,None,,,,,,,,,n,3.86646250000922,114.56391700000677,None,118.45379590000084,None,114.56391700000677,None,114.56391700000677,None,114.56391700000677,None,114.56391700000677,None,114.56391700000677,None,114.56391700000677,None,122.48725550000381,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,00:005,DISTANCE,IMMERSE,"Consider each of the following scenarios and, for each one, determine if you will perform the specified action.",Divers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the one skydiver to die 

Do nothing: The one skydiver will live, the group has a chance of surviving","The one skydiver was saved.
 
The group ","The one skydiver died.

The group of 8 skydivers was saved.",8,65, skydivers,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,133.10336390000884,None,,,,,,,,,n,2.59712039999431,128.4744425000099,None,131.0881769000116,None,128.4744425000099,None,128.4744425000099,None,128.4744425000099,None,128.4744425000099,None,128.4744425000099,None,128.4744425000099,None,135.1369934000104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,00:005,DISTANCE,IMMERSE,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,005:009,IMMERSE,DISTANCE,"• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ",Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved.
 
The group ","The one scuba diver died.

The group of 6 scuba divers was saved.",6,35, scuba divers,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,139.1212302000058,None,141.38748570000462,None,space,8.966968299995642,141.38748570000462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,005:009,IMMERSE,DISTANCE,"• You also know that there is one scuba diver separate from this group who is closer to you and currently not in the path of the sharks 

• If you shoot this one diver with a harpoon, he will certainly die and the sharks will sense his presence and switch trajectory away from his team of divers 

• If you do all of this, all  of the divers will be spared",Scuba divers in team: 3,"Probability EM pulse
will function: 65%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved.
 
The group ","The one scuba diver died.

The group of 3 scuba divers was saved.",3,65, scuba divers,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,150.68700730000273,None,space,0.2826082000101451,150.68700730000273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,005:009,IMMERSE,DISTANCE,"• You also know that the divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must shoot the one diver now",Scuba divers in team: 9,"Probability EM pulse
will function: 50%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved.
 
The group ","The one scuba diver died.

The group of 9 scuba divers  was saved.",9,50, scuba divers,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,151.17065880000882,None,space,0.4796219999989262,151.17065880000882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,005:009,IMMERSE,DISTANCE,"Consider each of the following scenarios and, for each one, determine if you will perform the specified action.",Scuba divers in team: 4,"Probability EM pulse
will function: 35%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved. 
 
The group ","The one scuba diver died.

The group of 4 scuba divers was saved.",4,35, scuba divers,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,151.70393930000137,None,space,0.29143110000586603,151.70393930000137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,005:009,IMMERSE,DISTANCE,"• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ",Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved.
 
The group ","The one scuba diver died.

The group of 6 scuba divers was saved.",6,35, scuba divers,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,175.38634140000795,None,,,,,,,154.0212828000076,None,n,2.0164310000109253,171.3222295000014,None,173.37330900000234,None,171.3222295000014,None,171.3222295000014,None,171.3222295000014,None,171.3222295000014,None,171.3222295000014,None,171.3222295000014,None,177.5196367000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,005:009,IMMERSE,DISTANCE,"• You also know that there is one scuba diver separate from this group who is closer to you and currently not in the path of the sharks 

• If you shoot this one diver with a harpoon, he will certainly die and the sharks will sense his presence and switch trajectory away from his team of divers 

• If you do all of this, all  of the divers will be spared",Scuba divers in team: 3,"Probability EM pulse
will function: 65%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved.
 
The group ","The one scuba diver died.

The group of 3 scuba divers was saved.",3,65, scuba divers,,,,,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,187.1695117000054,None,,,,,,,,,n,1.6900469999964116,183.4513064000057,None,185.16926730000705,None,183.4513064000057,None,183.4513064000057,None,183.4513064000057,None,183.4513064000057,None,183.4513064000057,None,183.4513064000057,None,189.2177582000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,005:009,IMMERSE,DISTANCE,"• You also know that the divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must shoot the one diver now",Scuba divers in team: 9,"Probability EM pulse
will function: 50%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved.
 
The group ","The one scuba diver died.

The group of 9 scuba divers  was saved.",9,50, scuba divers,,,,,,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,198.40356620000966,None,,,,,,,,,n,1.0963559000083478,195.28682839999965,None,196.4025779000076,None,195.28682839999965,None,195.28682839999965,None,195.28682839999965,None,195.28682839999965,None,195.28682839999965,None,195.28682839999965,None,200.51983250000922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,005:009,IMMERSE,DISTANCE,"Consider each of the following scenarios and, for each one, determine if you will perform the specified action.",Scuba divers in team: 4,"Probability EM pulse
will function: 35%","Plan: Shoot the one diver, leaving them to get eaten by sharks

Do nothing: The one diver will live, the group has a chance of surviving","The one scuba diver was saved. 
 
The group ","The one scuba diver died.

The group of 4 scuba divers was saved.",4,35, scuba divers,,,,,,,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,214.669014900006,None,,,,,,,,,n,6.201250900005107,206.43814759999805,None,212.66998700000113,None,206.43814759999805,None,206.43814759999805,None,206.43814759999805,None,206.43814759999805,None,206.43814759999805,None,206.43814759999805,None,216.78626190000796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,005:009,IMMERSE,DISTANCE,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group ","The one worker in Room B died. 

The 4 workers in Room A were saved.",4,35, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 4","Probability of 
escape: 35%","• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system

• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there",,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.6860893000121,None,230.83521820000897,None,space,3.8721264000050724,230.83521820000897,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group ","The one worker in Room B died. 

The 7 workers in Room A were saved.",7,65, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 7","Probability of 
escape: 65%","• You are the building manager

• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the one worker there",,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.85178550001,None,space,0.7187905000027968,234.85178550001,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1604,MoralSRBinaryChoice,3.2.0,59.80453485979934,
