MainLeftText,MainRightText,MainDilemmas,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun
"Individuals drowning
 to the west: 4","Probability of alternate 
rescue boat reaching them: 65%","• You also know that the only other rescue boat in the area is much further to the west, so would be unable to reach the one drowning man

• But there is a chance the rescue boat will reach the group drowning to the west","Plan: Change your course to head towards the group, leaving the man to die

Do nothing: The man will live, the group has a chance of surviving","The one man in the east lived.

The group  ","The one man in the east died.

The 4 individuals drowning in the west were saved.",4,65, individuals drowing to the west
"Individuals drowning
 to the west: 7","Probability of alternate 
rescue boat reaching them: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Change your course to head towards the group, leaving the man to die

Do nothing: The man will live, the group has a chance of surviving","The one man in the east lived.

The group  ","The one man in the east died.

The 7 individuals drowning in the west were saved.",7,50, individuals drowing to the west
"Repairmen on 
main track: 3","Probability of 
evacuation: 35%","• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately

• The boxcar is headed towards a tunneled section in which a group of repairmen are working","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the one repairman

Do nothing: The repairman will live, the group has a chance of evacuating","The one repairmen lived.

The group ","The one repairmen died.

The 3 repairmen on the track were saved.",3,35, repairmen on the main track
"Repairmen on 
main track: 9","Probability of 
evacuation: 65%","• You can flip the switch, redirecting the boxcar to a sidetrack on which there is one repairman working

• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the one repairman on the sidetrack will be hit by the boxcar and die","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the one repairman

Do nothing: The repairman will live, the group has a chance of evacuating","The one repairmen lived.

The group ","The one repairmen died.

The 9 repairmen on the track were saved.",9,65, repairmen on the main track
"Repairmen on 
main track: 2","Probability of 
evacuation:  50%","• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the one workman would evacuate in time","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the one repairman

Do nothing: The repairman will live, the group has a chance of evacuating","The one repairmen lived.

The group ","The one repairmen died.

The 2 repairmen on the track were saved.",2,50, repairmen on the main track
"Repairmen on 
main track: 4","Probability of 
evacuation: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the one repairman

Do nothing: The repairman will live, the group has a chance of evacuating","The one repairmen lived.

The group ","The one repairmen died.

The 4 repairmen on the track were saved.",4,50, repairmen on the main track
"Customers in main
dining room: 9","Probability customers
will be spared: 35%","• You are working in the kitchen of a café, and see a terrorist throw a grenade next to the main dining room, in which a number of customers are eating

• If nothing is done the grenade will explode and the walls of the main dining room will collapse and kill these customers","Plan: Throw the grenade onto the patio, killing the one customer there

Do nothing: The one customer will live, the group has a chance of surviving","The one customer on the patio lived.

The group  ","The one customer on the patio died.

The 9 customers in the main dining room were saved.",9,35, customers in the main dining room
"Customers in main
dining room: 7","Probability customers
will be spared: 50%","• There is only one other location the grenade could be thrown before it explodes, and that is the patio outside of the main dining room

• There is one customer sitting on the patio, and he would certainly be killed if the grenade is thrown there","Plan: Throw the grenade onto the patio, killing the one customer there

Do nothing: The one customer will live, the group has a chance of surviving","The one customer on the patio lived.

The group  ","The one customer on the patio died.

The 7 customers in the main dining room were saved.",7,50, customers in the main dining room
"Customers in main
dining room: 25","Probability customers
will be spared: 65%","• You have time to run out and throw the grenade to the patio, without risking any harm to yourself

• If you do this, the customers in the dining room will live but the one on the patio will die 

• You also know that there is a chance that the dining room walls will withstand the blast of the grenade explosion, and the customers would be spared","Plan: Throw the grenade onto the patio, killing the one customer there

Do nothing: The one customer will live, the group has a chance of surviving","The one customer on the patio lived.

The group  ","The one customer on the patio died.

The 25 customers in the main dining room were saved.",25,65, customers in the main dining room
"Customers in main
dining room: 13","Probability customers
will be spared: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Throw the grenade onto the patio, killing the one customer there

Do nothing: The one customer will live, the group has a chance of surviving","The one customer on the patio lived.

The group  ","The one customer on the patio died.

The 13 customers in the main dining room were saved.",13,50, customers in the main dining room
